# cycles.log — حواف أسقطها Kahn لتكوينها دورات
# السطر: حافة | القاعدة/الثقة | سلسلتا الطرفين | سبب الإسقاط
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.08 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.09 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.10 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.12 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.13 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.15 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.16 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.05 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.07 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.09 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.10 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.11 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.12 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.13 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.16 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|005.17 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.11 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.12 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.15 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.16 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.17 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|006.20 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|007.02 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|007.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|007.12 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|008.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|008.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|008.05 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|008.07 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
